song,artist,date,votes,ratings,views,favorites,comments,contributors,acoustic,tonality,capo,chords
Wonderwall,Oasis,1004486400,1228,4.40565,9879089,26569,195,8,0,D,0,"F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,F#m,D,Esus4,F#m,D,Esus4,F#m7,Esus4,A,Esus4,B7sus4,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,A,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,F#m,D,Esus4,F#m,D,Esus4,F#m7,Esus4,A,Esus4,B7sus4,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7"
Love Story,Taylor Swift,1221004801,3855,4.81763,9484965,111142,131,15,0,C,2,"C,G,Am,F,C,F,Am,F,C,F,Am,G,F,G,Am,C,F,G,Am,F,G,C,G,Am,F,G,C,C,F,Am,G,F,G,Am,C,F,G,Am,F,G,C,G,Am,F,G,C,G,Am,F,G,C,G,Am,F,G,Am,F,C,G,Am,F,C,G,C,G,Am,F,G,D,A,Bm,G,A,D,D,A,Bm,G,A,D"
Let It Be,The Beatles,1004486400,3553,4.66044,9261388,104047,81,9,0,C,0,"C,G,Am,Fmaj7,F6,C,G,F,Dm,C,C,G,Am,Fmaj7,F6,C,G,F,Dm,C,Am,F,C,C,G,F,Dm,C,C,G,Am,Fmaj7,F6,C,G,F,Dm,C,C,G,Am,Fmaj7,F6,C,G,F,Dm,C,Am,F,C,C,G,F,Dm,C,Am,F,C,C,G,F,Dm,C,F,Dm,C,Bb,G,F,C,C,G,Am,F,C,G,F,C,Am,F,C,C,G,F,Dm,C,C,G,Am,Fmaj7,F6,C,G,F,Dm,C,C,G,Am,Fmaj7,F6,C,G,F,Dm,C,Am,F,C,C,G,F,Dm,C,F,Dm,C,Bb,G,F,C"
Rolling In The Deep,Adele,1290988801,1050,4.24065,9028676,70580,66,5,0,,0,"C5,C5,G5,Bb5,G5,Bb5,C5,G5,Bb5,G5,Bb5,C5,G5,Bb5,G5,Bb5,C5,G5,Bb5,G5,Bb5,Ab,Bb,Gm,Ab,Ab,Bb,Gm,G,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,C5,G5,Bb5,G5,Bb5,C5,G5,Bb5,G5,Bb5,Ab,Bb,Gm,Ab,Ab,Bb,Gm,G,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Ab,Bb,Cm,Bb,Ab,Bb,C5,C5,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Cm,Bb,Ab,Bb,Cm,Bb,Ab,Bb,Cm,Ab,Bb,Cm,Bb,Ab,Bb,Cm"
Viva La Vida,Coldplay,1210550401,5640,4.86879,8809704,151046,223,5,0,D,1,"C,D,G,Em,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,Em,C,D,G,Em,C,D,G,Em,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,Em,C,D,G,Em,C,D,G,Em,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em"
Radioactive,Imagine Dragons,1343779201,12739,4.87041,8706000,161486,293,15,0,Am,2,"Am,C,G6,Am,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,Cmaj7,G,D,Am,Cmaj7,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D,Am,C,G,D"
Hey There Delilah,Plain White T's,1140998401,5236,4.86457,8673600,142930,151,8,0,D,0,"D,F#m,D,F#m,D,F#m,D,F#m,Bm,G,A,Bm,A,D,F#m,D,F#m,Bm,G,A,Bm,A,D,Bm,D,Bm,A,D,Bm,D,Bm,D,D,F#m,D,F#m,Bm,G,A,Bm,A,D,F#m,D,F#m,Bm,G,A,Bm,A,D,Bm,D,Bm,A,D,Bm,D,Bm,A,G,A,D,Bm,G,A,D,Bm,G,A,Bm,A,D,F#m,D,F#m,Bm,G,A,Bm,G,A,Bm,G,A,Bm,A,D,Bm,D,Bm,A,D,Bm,D,Bm,D,Bm,D,Bm,D,Bm,D,Bm,D,D"
More Than Words,Extreme,1004486400,2936,4.80076,8555523,89865,84,10,0,G,0,"G,Cadd9,Am7,C,C,D,G,G,Cadd9,Am7,C,D,G,G,Cadd9,Am7,C,D,Em,Bm7,Am7,D,G,D/F#,Em,Bm7,Am7,D7,G7,G7,C,C,Cm,G,Em7,Am7,D7,G,G,D/F#,Em,Bm,C,C,Am7,D7,G,G,D/F#,Em7,Bm7,C,C,Am7,D7,G,G,Cadd9,Am7,C,C,D,G,G,Cadd9,Am7,C,C,D,G,G,Cadd9,Am7,C,D,G,G,Cadd9,Am7,C,D,Em,Bm7,Am7,D,G,D/F#,Em,Bm7,Am7,D7,G7,C,C,Cm,G,Em7,Am7,D7,G,G,D/F#,Em,Bm,C,C,Am7,D7,G,G,D/F#,Em7,Bm7,C,C,Am7,D7,G"
Hey Jude,The Beatles,1004486400,1522,4.62719,8492003,58391,93,8,0,F,0,"F,C,C,C6,C7,C7sus4,C7,F,Bb,F,C,F,F,C,C,C6,C7,C7sus4,C7,F,Bb,F,C,F,Fmaj7,F7,Bb,Gm,Gm7,C,F,Fmaj7,F7,Bb,Gm,Gm7,C,F,F6,F7,C,Csus4,C,C,F,C7,F,C,C,C6,C7,C7sus4,C7,F,Bb,F,C,F,Fmaj7,F7,Bb,Gm,Gm7,C,F,Fmaj7,F7,Bb,Gm,Gm7,C,F,F6,F7,C,Csus4,C,C,F,C7,F,C,F,C7,C7sus4,C7,F,Bb,F,C,F,F6,F7,Eb,Bb,F,F6,F7,Eb,Bb,F"
Im Yours,Jason Mraz,1170633601,1208,4.48586,8401300,26388,61,6,0,B,0,"C,G,Am,F,C,G,Am,F,C,G,Am,F,D7/F#,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,D7/F#,C,G,Am,F,C,G,Am,F,C,Am,G,F,D7/F#,C,Am,G,F,D7/F#,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,D7/F#,C,G,Am,F"
